,cancer_type,cellosaurus_id,standard_drug_name,dataset,info,IC50,IC90,EC50,Einf,AUC
3100,kidney,ACHN,ML030,All,CTRP2,5.77481,12.8645,2.40716,0.520875,15.5951
3101,kidney,ACHN,ML050,All,CTRP2,9.0624,15.1264,3.70398,0.250952,5.28607
3102,kidney,ACHN,ML162,All,CTRP2,-3.42963,-2.81462,-3.42963,1.0,56.4552
3103,kidney,ACHN,ML203,All,CTRP2,6.71037,9.6202,4.09383,0.243544,2.458
3104,kidney,ACHN,ML210,All,CTRP2,-3.48054,-2.05968,-3.48054,0.999998,56.7942
3105,kidney,ACHN,ML239,All,CTRP2,7.71907,9.70894,5.34806,0.13597,0.881772
3106,kidney,ACHN,ML258,All,CTRP2,8.45088,10.0009,5.54389,0.0319415,0.152563
3107,kidney,ACHN,ML311,All,CTRP2,5.74985,9.71788,3.95677,0.540685,8.77408
3108,kidney,ACHN,ML320,All,CTRP2,2.60341,3.22486,2.60341,0.999995,22.9244
3109,kidney,ACHN,ML323,All,GDSC2,5.05552,12.0304,1.06067,0.442482,17.5352
3110,kidney,ACHN,ML334 diastereomer,All,CTRP2,9.27908,10.9246,6.48509,0.0468274,0.240209
3111,kidney,ACHN,MLN2238,All,CTRP2,-0.0759227,3.30809,-0.182964,0.965263,34.4584
3112,kidney,ACHN,MLN2480,All,CTRP2,7.03696,9.4942,5.0599,0.291618,2.56873
3113,kidney,ACHN,MN-64,All,GDSC2,5.67593,12.165,0.674741,0.310651,10.5712
3114,kidney,ACHN,momelotinib,All,CTRP2,3.58996,5.81336,3.42517,0.918754,16.923
3115,kidney,ACHN,Motesanib,All,GDSC1,3.28712,5.17962,0.37324,0.0656576,0.731102
3116,kidney,ACHN,MPS-1-IN-1,All,GDSC1,5.69228,8.30062,3.32532,0.239694,4.06083
3117,kidney,ACHN,myricetin,All,CTRP2,7.83564,10.9778,4.86216,0.222256,2.39468
3118,kidney,ACHN,N9-isopropylolomoucine,All,CTRP2,7.16029,8.87921,6.9549,0.869481,10.6024
3119,kidney,ACHN,nakiterpiosin,All,CTRP2,2.38682,4.95862,2.16708,0.906405,18.4712
3120,kidney,ACHN,narciclasine,All,CTRP2,1.73029,11.1126,-1.056,0.684845,31.0667
3121,kidney,ACHN,Navitoclax,All,"CTRP2,GDSC2,GDSC1",7.69839,13.4043,2.81469,0.264639,5.29893
3122,kidney,ACHN,navitoclax:birinapant (1:1 mol/mol),All,CTRP2,7.32501,10.8934,3.73062,0.197138,2.37544
3123,kidney,ACHN,navitoclax:gemcitabine (1:1 mol/mol),All,CTRP2,-5.46158,0.223035,-5.54926,0.983056,67.5021
3124,kidney,ACHN,navitoclax:MST-312 (1:1 mol/mol),All,CTRP2,0.777136,1.61121,0.777126,0.999987,28.4291
3125,kidney,ACHN,navitoclax:piperlongumine (1:1 mol/mol),All,CTRP2,3.18615,5.00675,3.02659,0.904015,12.937
3126,kidney,ACHN,navitoclax:pluripotin (1:1 mol/mol),All,CTRP2,-0.847524,1.12745,-0.850078,0.998579,39.2611
3127,kidney,ACHN,navitoclax:PLX-4032 (1:1 mol/mol),All,CTRP2,2.72406,5.01509,2.52009,0.902501,16.171
3128,kidney,ACHN,navitoclax:sorafenib (1:1 mol/mol),All,CTRP2,2.9156,4.25057,2.90212,0.988909,18.2036
3129,kidney,ACHN,necrostatin-1,All,CTRP2,9.08136,9.98059,8.61047,0.480761,1.7863
3130,kidney,ACHN,necrostatin-7,All,CTRP2,8.5909,10.4789,5.42689,0.0490999,0.288213
3131,kidney,ACHN,necrosulfonamide,All,CTRP2,2.55807,3.96893,2.55247,0.995634,23.2451
3132,kidney,ACHN,Nelarabine,All,"CTRP2,GDSC2",9.17694,10.8526,5.50955,0.0161795,0.0828737
3133,kidney,ACHN,neratinib,All,CTRP2,2.42671,13.981,-1.75696,0.62194,30.9061
3134,kidney,ACHN,NG-25,All,GDSC1,4.11683,9.69952,0.793954,0.425707,16.62
3135,kidney,ACHN,niclosamide,All,CTRP2,0.330533,1.6291,0.330127,0.999656,31.4058
3136,kidney,ACHN,Nilotinib,All,"CTRP2,GDSC2,GDSC1",8.40481,10.0585,5.50655,0.0416348,0.213228
3137,kidney,ACHN,nintedanib,All,CTRP2,8.07374,12.6406,4.24507,0.273612,4.42266
3138,kidney,ACHN,Niraparib,All,GDSC2,4.96897,8.01925,2.16245,0.233899,3.70859
3139,kidney,ACHN,NPC-26,All,CTRP2,7.8019,9.35409,4.82179,0.0290128,0.13843
3140,kidney,ACHN,NPK76-II-72-1,All,GDSC1,4.72949,7.31789,2.36898,0.237617,3.98993
3141,kidney,ACHN,NSC 74859,All,CTRP2,10.6883,12.201,8.54148,0.0847273,0.405932
3142,kidney,ACHN,NSC-207895,All,GDSC1,4.66531,6.07749,3.71125,0.369523,3.70585
3143,kidney,ACHN,NSC-87877,All,GDSC1,6.74511,8.47648,3.44181,0.0297791,0.297762
3144,kidney,ACHN,NSC23766,All,CTRP2,9.10516,9.99002,8.62502,0.465718,1.68117
3145,kidney,ACHN,NSC30930,All,CTRP2,7.40278,9.45091,5.29562,0.188884,1.30004
3146,kidney,ACHN,NSC319726,All,GDSC1,1.32532,10.6418,-5.78287,0.315144,16.4902
3147,kidney,ACHN,NSC48300,All,CTRP2,7.21532,9.66926,5.08992,0.259527,2.23562
3148,kidney,ACHN,NSC632839,All,CTRP2,4.68961,5.22359,4.59688,0.811514,2.7018
3149,kidney,ACHN,NSC95397,All,CTRP2,4.51403,9.22266,2.49833,0.561558,11.7551
3150,kidney,ACHN,NU7441,All,GDSC1,2.68379,4.93467,0.195424,0.161969,2.2617
3151,kidney,ACHN,Nutlin-3a,All,"CTRP2,GDSC2,CCLE,GDSC1",4.27843,6.97685,4.07412,0.917009,19.258
3152,kidney,ACHN,NVP-231,All,CTRP2,6.0559,9.81293,4.16971,0.498317,7.85603
3153,kidney,ACHN,NVP-ADW742,All,"CTRP2,GDSC2",7.1964,11.699,4.11013,0.363047,6.15289
3154,kidney,ACHN,NVP-BHG712,All,GDSC1,4.30067,8.09043,1.72252,0.366418,9.71893
3155,kidney,ACHN,NVP-BSK805,All,CTRP2,5.2109,8.01522,4.30039,0.657699,9.11556
3156,kidney,ACHN,NVP-TAE684,All,"CTRP2,CCLE",2.68829,4.35619,2.67026,0.988123,22.4192
3157,kidney,ACHN,O-6-benzylguanine,All,CTRP2,6.32705,8.26257,5.16117,0.420461,3.20146
3158,kidney,ACHN,Obatoclax Mesylate,All,"CTRP2,GDSC2,GDSC1",0.411808,2.86959,0.397353,0.993539,37.5717
3159,kidney,ACHN,OF-1,All,GDSC2,5.30222,13.6534,-0.300865,0.372614,16.1696
3160,kidney,ACHN,Olaparib,All,"CTRP2,GDSC2,GDSC1",7.66042,10.0554,6.15713,0.402281,3.73348
3161,kidney,ACHN,omacetaxine mepesuccinate,All,CTRP2,0.720039,7.28459,-0.146683,0.855958,37.8042
3162,kidney,ACHN,Omipalisib,All,GDSC1,-2.10402,7.05806,-7.27888,0.448517,25.1412
3163,kidney,ACHN,OSI-027,All,"CTRP2,GDSC1",4.81719,11.7491,2.11428,0.596039,18.787
3164,kidney,ACHN,OSI-930,All,"CTRP2,GDSC1",8.97554,13.0251,4.58803,0.169327,2.27716
3165,kidney,ACHN,Osimertinib,All,GDSC2,0.672067,7.4474,-3.1795,0.445727,17.2926
3166,kidney,ACHN,OSU-03012,All,GDSC1,1.31597,2.46214,1.30993,0.994207,33.588
3167,kidney,ACHN,OTX015,All,GDSC2,2.73903,11.983,-1.50346,0.534582,27.9782
3168,kidney,ACHN,ouabain,All,CTRP2,-1.29479,50.1988,-21.2267,0.59866,51.9655
3169,kidney,ACHN,Oxaliplatin,All,"CTRP2,GDSC2",8.91101,13.9823,4.13327,0.224086,3.89457
3170,kidney,ACHN,P22077,All,GDSC2,5.00116,7.22518,2.52832,0.159895,1.76961
3171,kidney,ACHN,PAC-1,All,"CTRP2,GDSC1",4.98336,9.7173,2.65689,0.507081,10.14
3172,kidney,ACHN,Paclitaxel,All,"CTRP2,GDSC2,CCLE",10.0061,25.4077,-0.567214,0.362348,13.2365
3173,kidney,ACHN,PAK_5339,All,GDSC2,3.43042,4.95209,3.283,0.893971,15.5955
3174,kidney,ACHN,Palbociclib,All,GDSC2,2.45916,10.4638,-0.991269,0.558931,24.6254
3175,kidney,ACHN,palmostatin B,All,CTRP2,8.59539,10.2395,5.51347,0.0320082,0.162171
3176,kidney,ACHN,pandacostat,All,CTRP2,7.73405,11.4281,3.71733,0.168009,2.05987
3177,kidney,ACHN,Panobinostat,All,"CCLE,GDSC1",-3.67401,-0.606825,-3.69723,0.991682,57.0819
3178,kidney,ACHN,parbendazole,All,CTRP2,6.75593,18.2006,0.548595,0.465902,20.1076
3179,kidney,ACHN,PARP_0108,All,GDSC1,-1.63019,2.93246,-2.44798,0.805596,40.3244
3180,kidney,ACHN,PARP_9482,All,GDSC1,-1.50521,4.06252,-2.78241,0.753188,40.4501
3181,kidney,ACHN,PARP_9495,All,GDSC1,1.75927,3.75623,0.447219,0.381969,5.46592
3182,kidney,ACHN,Parthenolide,All,CTRP2,4.42191,5.65125,4.3635,0.947842,11.0089
3183,kidney,ACHN,Pazopanib,All,"CTRP2,GDSC1",7.70885,13.0812,3.79791,0.336095,6.65461
3184,kidney,ACHN,PCI-34051,All,GDSC2,4.78726,8.54148,1.80897,0.297838,6.04141
3185,kidney,ACHN,PD 153035,All,CTRP2,8.22582,17.0234,1.4536,0.311188,9.6618
3186,kidney,ACHN,PD0325901,All,"GDSC2,CCLE,GDSC1",3.84454,14.7778,-2.20072,0.457671,18.9868
3187,kidney,ACHN,PD173074,All,"GDSC2,GDSC1",2.78779,5.23486,0.121465,0.167247,2.04516
3188,kidney,ACHN,PD318088,All,CTRP2,8.92605,14.9132,3.71935,0.257779,5.38617
3189,kidney,ACHN,PDMP,All,CTRP2,6.67543,8.63986,6.24094,0.761682,8.55962
3190,kidney,ACHN,Pelitinib,All,GDSC1,4.8885,36.2621,-13.2721,0.437877,37.132
3191,kidney,ACHN,Pemetrexed,All,GDSC1,1.23944,6.02111,-1.07429,0.513403,18.8776
3192,kidney,ACHN,Pevonedistat,All,"CTRP2,GDSC2,GDSC1",0.467271,3.15764,0.417372,0.979627,31.701
3193,kidney,ACHN,PF-00299804,All,GDSC1,2.98958,30.9237,-10.1049,0.526176,44.8156
3194,kidney,ACHN,PF-184,All,CTRP2,4.74464,8.14665,3.78055,0.698352,12.3612
3195,kidney,ACHN,PF-3758309,All,CTRP2,4.61395,13.3936,1.11884,0.588553,22.7658
3196,kidney,ACHN,PF-4708671,All,GDSC1,4.84973,9.2974,1.49149,0.319785,9.5228
3197,kidney,ACHN,PF-4800567 hydrochloride,All,CTRP2,6.95372,11.0091,4.27305,0.379262,5.86118
3198,kidney,ACHN,PF-562271,All,GDSC1,1.55232,3.42898,0.478332,0.442829,6.24368
3199,kidney,ACHN,PF-573228,All,CTRP2,7.29648,10.8925,4.56765,0.317551,4.16529
3200,kidney,ACHN,PF-750,All,CTRP2,5.60794,7.37353,5.53677,0.955742,16.6742
3201,kidney,ACHN,PFI-1,All,GDSC1,4.36166,9.67599,0.964266,0.394155,14.4393
3202,kidney,ACHN,PFI-3,All,GDSC1,5.96449,7.85676,2.70519,0.0444287,0.489185
3203,kidney,ACHN,PFI3,All,GDSC2,5.6149,7.70771,2.61977,0.0826125,0.824135
3204,kidney,ACHN,PHA-665752,All,CCLE,3.73481,6.4525,1.84117,0.355697,4.66905
3205,kidney,ACHN,PHA-793887,All,"CTRP2,GDSC1",5.9943,9.14565,4.45182,0.508731,6.79116
3206,kidney,ACHN,Phenformin,All,GDSC1,15.1676,26.0877,7.36232,0.344287,20.0164
3207,kidney,ACHN,phloretin,All,CTRP2,8.95529,12.6136,7.28811,0.53736,8.55399
3208,kidney,ACHN,PI-103,All,"CTRP2,GDSC1",2.55395,11.9243,-0.554961,0.650829,28.3257
3209,kidney,ACHN,PI3Ka_4409,All,GDSC1,3.47135,7.86281,1.17478,0.481318,15.9805
3210,kidney,ACHN,Picolinici-acid,All,GDSC2,5.92812,7.71029,2.74356,0.0386735,0.321028
3211,kidney,ACHN,Pictilisib,All,"CTRP2,GDSC2,GDSC1",6.48629,16.5776,1.14139,0.475964,18.7318
3212,kidney,ACHN,pifithrin-alpha,All,CTRP2,10.0557,16.1841,5.343,0.311652,6.91291
3213,kidney,ACHN,pifithrin-mu,All,CTRP2,4.61916,5.5543,4.38431,0.730888,3.72184
3214,kidney,ACHN,PIK-93,All,"CTRP2,GDSC1",6.56825,12.5336,3.22535,0.451911,10.8172
3215,kidney,ACHN,Pilaralisib,All,GDSC1,4.28892,7.16639,2.8721,0.506301,11.5171
3216,kidney,ACHN,Piperlongumine,All,"CTRP2,GDSC1",2.62463,3.5941,2.62098,0.995865,16.133
3217,kidney,ACHN,piperlongumine:MST-312 (1:1 mol/mol),All,CTRP2,2.6807,4.86466,2.5116,0.915139,16.3345
3218,kidney,ACHN,pitstop2,All,CTRP2,8.24582,9.82114,5.531,0.0443397,0.216626
3219,kidney,ACHN,PL-DI,All,CTRP2,2.46915,4.24387,2.45006,0.988184,23.8828
3220,kidney,ACHN,Platin,All,CTRP2,7.96047,9.48715,5.54108,0.0596566,0.284732
3221,kidney,ACHN,PLK_6522,All,GDSC1,-1.02998,2.02116,-2.33111,0.563019,14.2998
3222,kidney,ACHN,pluripotin,All,CTRP2,-1.55826,3.41595,-1.90435,0.923709,41.0641
3223,kidney,ACHN,PLX-4032,All,CTRP2,7.1631,14.1628,2.10727,0.339602,8.70808
3224,kidney,ACHN,PLX-4720,All,"CTRP2,GDSC2,CCLE,GDSC1",5.3356,8.64612,3.48009,0.451831,6.03401
3225,kidney,ACHN,Podophyllotoxin bromide,All,GDSC2,-0.12437,3.8505,-2.02985,0.517181,13.1395
3226,kidney,ACHN,Ponatinib,All,GDSC1,-1.75512,0.166906,-2.27473,0.711433,13.5867
3227,kidney,ACHN,PRIMA-1,All,CTRP2,6.60573,7.21374,6.57696,0.948056,5.44716
3228,kidney,ACHN,PRIMA-1MET,All,GDSC2,4.3148,6.84638,3.40829,0.625718,11.3593
3229,kidney,ACHN,PRL-3 Inhibitor I,All,CTRP2,8.44578,10.4325,6.30652,0.171611,1.13849
3230,kidney,ACHN,procarbazine,All,CTRP2,8.31762,12.5327,4.4418,0.234156,3.40793
3231,kidney,ACHN,prochlorperazine,All,CTRP2,5.48415,6.03445,5.43566,0.903515,3.90176
3232,kidney,ACHN,PRT062607,All,GDSC2,3.18118,7.667,1.03102,0.517228,14.7533
3233,kidney,ACHN,purmorphamine,All,CTRP2,8.87284,13.3306,5.41522,0.307818,4.97468
3234,kidney,ACHN,PX-12,All,CTRP2,5.98146,6.69775,5.90556,0.884107,4.67598
3235,kidney,ACHN,PYR-41,All,CTRP2,8.33932,12.7867,4.33943,0.243458,3.75957
3236,kidney,ACHN,pyrazolanthrone,All,CTRP2,5.67722,7.97927,4.75618,0.586727,6.16783
3237,kidney,ACHN,Pyridostatin,All,GDSC2,4.45212,6.28379,2.64304,0.204932,1.91844
3238,kidney,ACHN,QL-X-138,All,GDSC1,3.60265,8.48686,0.993206,0.472305,17.0899
3239,kidney,ACHN,QL-XI-92,All,GDSC1,6.16117,10.481,1.77052,0.193606,5.18752
3240,kidney,ACHN,QL-XII-47,All,GDSC1,1.23914,3.36458,1.04349,0.899213,27.7195
3241,kidney,ACHN,QS11,All,GDSC1,3.44697,5.67542,2.2713,0.477627,8.22817
3242,kidney,ACHN,Quizartinib,All,"CTRP2,GDSC1",8.51009,10.2526,5.4772,0.0427291,0.230715
3243,kidney,ACHN,R428,All,CTRP2,3.69886,7.54579,2.96134,0.792438,18.3314
3244,kidney,ACHN,RAF_9304,All,GDSC1,1.68015,8.0962,-0.541266,0.63697,33.0666
3245,kidney,ACHN,RAF265,All,"CTRP2,CCLE",-0.193236,9.99704,-2.13849,0.793304,44.3694
3246,kidney,ACHN,Rapamycin,All,"CTRP2,GDSC2",14.2924,31.1073,-1.32524,0.229977,8.94615
3247,kidney,ACHN,Refametinib,All,GDSC1,1.4192,6.08284,-0.355238,0.604754,23.7072
3248,kidney,ACHN,Regorafenib,All,CTRP2,7.31749,13.3251,3.40282,0.385654,8.82743
3249,kidney,ACHN,Repligen 136,All,CTRP2,6.66216,8.1309,5.46006,0.284109,1.48843
3250,kidney,ACHN,RG-108,All,CTRP2,10.5316,12.9857,7.24231,0.0999368,0.782688
3251,kidney,ACHN,rigosertib,All,CTRP2,4.945,15.4023,0.420405,0.557494,24.19
3252,kidney,ACHN,RITA,All,CTRP2,6.50477,10.3861,3.47054,0.304338,4.26961
3253,kidney,ACHN,RO-3306,All,GDSC1,4.11318,7.89019,0.851195,0.260757,6.4199
3254,kidney,ACHN,RO4929097,All,CTRP2,8.95065,10.3682,5.59365,0.0109358,0.0472625
3255,kidney,ACHN,rTRAIL,All,GDSC1,0.0219779,1.84492,-3.90434,0.0174561,0.182619
3256,kidney,ACHN,RU-SKI 43,All,GDSC1,5.55174,7.1384,3.75846,0.154064,1.51021
3257,kidney,ACHN,Rucaparib,All,GDSC1,3.22174,5.53941,1.38705,0.298793,4.67726
3258,kidney,ACHN,Ruxolitinib,All,"CTRP2,GDSC2,GDSC1",6.17924,8.88307,4.73581,0.472632,5.24562
3259,kidney,ACHN,RVX-208,All,GDSC2,4.44805,6.39137,2.59303,0.218699,2.19039
3260,kidney,ACHN,Sabutoclax,All,GDSC2,-0.515957,2.89611,-0.758344,0.922115,39.4787
3261,kidney,ACHN,salermide,All,CTRP2,11.0431,12.4691,8.18603,0.0241955,0.105793
3262,kidney,ACHN,salermide:PLX-4032 (12:1 mol/mol),All,CTRP2,9.99851,12.722,6.82269,0.143228,1.27529
3263,kidney,ACHN,Sapitinib,All,GDSC2,2.94347,14.4937,-2.58239,0.517991,28.9808
3264,kidney,ACHN,Saracatinib,All,"CTRP2,CCLE",5.73419,12.5899,2.50965,0.524834,15.2814
3265,kidney,ACHN,Savolitinib,All,GDSC2,2.95347,4.68432,-0.555237,0.0229935,0.183887
3266,kidney,ACHN,SB-225002,All,CTRP2,4.8607,8.35328,3.33821,0.554633,8.54887
3267,kidney,ACHN,SB-431542,All,CTRP2,7.28723,8.86987,5.48368,0.15117,0.786485
3268,kidney,ACHN,SB-525334,All,CTRP2,7.22623,9.46238,5.19096,0.238437,1.84679
3269,kidney,ACHN,SB216763,All,GDSC1,5.89436,7.54816,2.78797,0.0317468,0.303526
3270,kidney,ACHN,SB505124,All,GDSC1,6.37738,8.42451,3.6262,0.099198,1.08141
3271,kidney,ACHN,SB52334,All,GDSC1,5.90887,10.1684,2.59187,0.30606,8.68197
3272,kidney,ACHN,SCH-529074,All,CTRP2,4.36163,4.98396,4.31487,0.917631,4.71085
3273,kidney,ACHN,SCH-79797,All,CTRP2,1.12222,3.1336,1.10139,0.988625,27.2495
3274,kidney,ACHN,SCH772984,All,GDSC2,3.61397,9.38635,-0.199931,0.379467,12.2194
3275,kidney,ACHN,Selisistat,All,"CTRP2,GDSC1",7.43738,9.73786,5.42977,0.256282,2.06333
3276,kidney,ACHN,Selumetinib,All,"CTRP2,GDSC2,CCLE,GDSC1",14.9901,29.3639,2.4942,0.257922,10.6292
3277,kidney,ACHN,selumetinib:BRD-A02303741 (4:1 mol/mol),All,CTRP2,10.4758,18.0729,4.36518,0.29176,7.81622
3278,kidney,ACHN,selumetinib:decitabine (4:1 mol/mol),All,CTRP2,9.14231,14.6819,5.09632,0.334624,6.81456
3279,kidney,ACHN,selumetinib:GDC-0941 (4:1 mol/mol),All,CTRP2,5.00083,11.4318,3.15585,0.694856,22.8627
3280,kidney,ACHN,selumetinib:JQ-1 (4:1 mol/mol),All,CTRP2,6.06768,10.8903,4.45466,0.648236,15.2341
3281,kidney,ACHN,selumetinib:MK-2206 (8:1 mol/mol),All,CTRP2,4.61148,9.4007,3.58443,0.768667,21.2324
3282,kidney,ACHN,selumetinib:navitoclax (8:1 mol/mol),All,CTRP2,3.87137,6.54591,3.72606,0.940378,22.892
3283,kidney,ACHN,selumetinib:piperlongumine (8:1 mol/mol),All,CTRP2,6.63485,12.0176,4.32305,0.560319,13.3807
3284,kidney,ACHN,selumetinib:PLX-4032 (8:1 mol/mol),All,CTRP2,8.27911,14.1316,4.60885,0.402679,9.11161
3285,kidney,ACHN,selumetinib:tretinoin (2:1 mol/mol),All,CTRP2,10.7228,17.4585,5.00347,0.268079,6.3216
3286,kidney,ACHN,selumetinib:UNC0638 (4:1 mol/mol),All,CTRP2,10.3678,18.4979,4.09445,0.310122,8.95245
3287,kidney,ACHN,semagacestat,All,CTRP2,8.65189,10.3619,5.49141,0.0338824,0.178723
3288,kidney,ACHN,Sepantronium bromide,All,"CTRP2,GDSC2,GDSC1",-4.82625,-2.98811,-4.82635,0.999941,44.5275
3289,kidney,ACHN,Serdemetan,All,"CTRP2,GDSC1",2.83918,7.26742,1.8061,0.749171,18.5456
3290,kidney,ACHN,serdemetan:SCH-529074 (1:1 mol/mol),All,CTRP2,4.42287,5.29272,4.28514,0.827778,4.6392
3291,kidney,ACHN,SGC0946,All,GDSC1,1.24164,3.17994,-1.64555,0.0730277,0.836094
3292,kidney,ACHN,SGX-523,All,CTRP2,8.18991,11.745,4.7212,0.209814,2.5381
3293,kidney,ACHN,Shikonin,All,GDSC1,-1.55054,-0.451935,-1.55056,0.999985,69.3354
3294,kidney,ACHN,SID 26681509,All,CTRP2,7.4609,9.50609,6.87506,0.695298,7.3625
3295,kidney,ACHN,sildenafil,All,CTRP2,11.3117,14.961,7.69842,0.203943,2.52252
3296,kidney,ACHN,silmitasertib,All,CTRP2,8.30257,13.0432,4.19994,0.259869,4.32069
3297,kidney,ACHN,simvastatin,All,CTRP2,3.32412,8.55093,1.71068,0.673303,17.6703
3298,kidney,ACHN,Sinularin,All,GDSC2,2.54718,9.99632,-1.84819,0.429518,17.7666
3299,kidney,ACHN,sirolimus:bortezomib (250:1 mol/mol),All,CTRP2,5.20907,20.0451,-2.977,0.458568,23.6375
3300,kidney,ACHN,SJ-172550,All,CTRP2,7.90388,9.33207,4.58987,0.0121377,0.0528823
3301,kidney,ACHN,skepinone-L,All,CTRP2,6.13322,7.87294,5.20305,0.471984,3.36875
3302,kidney,ACHN,SKI-II,All,CTRP2,8.55176,11.693,5.80507,0.255447,2.8202
3303,kidney,ACHN,SL0101,All,GDSC1,4.74134,7.90333,2.07837,0.271637,5.67575
3304,kidney,ACHN,SMER-3,All,CTRP2,1.90564,3.49655,1.90089,0.996718,27.5888
3305,kidney,ACHN,SN-38,All,"CTRP2,GDSC1",-4.22169,1.19118,-4.88515,0.86615,32.8882
3306,kidney,ACHN,SNS-032,All,CTRP2,7.1242,11.6772,4.06934,0.372593,6.42943
3307,kidney,ACHN,SNX-2112,All,"CTRP2,GDSC1",4.87701,15.0433,-0.0952277,0.509043,20.7069
3308,kidney,ACHN,SNX-2112:bortezomib (250:1 mol/mol),All,CTRP2,1.54333,6.04379,0.609582,0.77593,20.3608
3309,kidney,ACHN,Sorafenib,All,"CTRP2,GDSC2,CCLE",2.20516,3.27558,2.20479,0.999622,25.5788
3310,kidney,ACHN,sotrastaurin,All,CTRP2,6.27518,7.49895,5.49935,0.397866,1.88227
3311,kidney,ACHN,spautin-1,All,CTRP2,3.31092,4.91851,3.27683,0.976708,18.3257
3312,kidney,ACHN,Sphingosine Kinase 1 Inhibitor II,All,"CTRP2,GDSC1",5.3346,6.59999,4.49319,0.376621,1.81325
3313,kidney,ACHN,SR-II-138A,All,CTRP2,2.16015,32.2593,-11.0356,0.552444,41.8435
3314,kidney,ACHN,SR1001,All,CTRP2,7.04043,8.59454,5.47253,0.196516,1.03101
3315,kidney,ACHN,Staurosporine,All,GDSC2,-4.5554,3.57219,-5.91816,0.817851,59.4892
3316,kidney,ACHN,StemRegenin 1,All,CTRP2,5.33335,7.18053,4.81235,0.699683,6.73726
3317,kidney,ACHN,STF-31,All,CTRP2,3.79325,6.18123,3.54896,0.888084,15.8568
3318,kidney,ACHN,STF-62247,All,GDSC1,6.41145,12.7976,0.873422,0.258993,10.0891
3319,kidney,ACHN,SU11274,All,"CTRP2,GDSC1",9.91629,22.5225,0.766169,0.33741,14.336
3320,kidney,ACHN,Sunitinib,All,CTRP2,4.13969,7.57872,3.41163,0.771523,15.3918
3321,kidney,ACHN,SZ4TA2,All,CTRP2,8.25268,10.4682,5.29058,0.100645,0.712585
3322,kidney,ACHN,T-5345967,All,CTRP2,10.7239,16.1539,6.77759,0.336838,6.74079
3323,kidney,ACHN,T0901317,All,GDSC1,5.42943,9.12785,1.96019,0.225878,5.33395
3324,kidney,ACHN,tacedinaline,All,CTRP2,5.12278,7.42679,3.91787,0.481321,4.58604
3325,kidney,ACHN,tacrolimus,All,CTRP2,7.71387,10.0899,5.33314,0.199213,1.60439
3326,kidney,ACHN,TAF1_5496,All,GDSC2,5.18974,15.7089,-1.39221,0.403682,20.9424
3327,kidney,ACHN,TAK-715,All,GDSC1,4.94188,11.669,1.15142,0.449549,18.927
3328,kidney,ACHN,Talazoparib,All,"GDSC2,GDSC1",4.08993,5.99144,2.56007,0.291638,2.99438
3329,kidney,ACHN,tamatinib,All,CTRP2,8.95169,18.9497,1.01599,0.297614,10.2387
3330,kidney,ACHN,Tamoxifen,All,"CTRP2,GDSC2,GDSC1",9.01063,11.4798,5.79855,0.108502,0.859019
3331,kidney,ACHN,tandutinib,All,CTRP2,7.31501,11.2317,4.418,0.328979,4.73658
3332,kidney,ACHN,Tanespimycin,All,"CTRP2,CCLE,GDSC1",4.02815,8.90713,2.2122,0.612459,13.9961
3333,kidney,ACHN,tanespimycin:bortezomib (250:1 mol/mol),All,CTRP2,4.48926,9.33743,1.78935,0.454601,8.8896
3334,kidney,ACHN,tanespimycin:gemcitabine (1:1 mol/mol),All,CTRP2,6.40196,25.9875,-4.31842,0.461998,28.0282
3335,kidney,ACHN,TANK_1366,All,GDSC1,2.31104,5.34584,0.0626424,0.328246,6.84336
3336,kidney,ACHN,Taselisib,All,GDSC2,2.71479,6.81312,1.04771,0.580664,14.3083
3337,kidney,ACHN,Telomerase Inhibitor IX,All,"CTRP2,GDSC2",1.88436,5.93587,1.31687,0.847323,23.068
3338,kidney,ACHN,Temozolomide,All,"CTRP2,GDSC2,GDSC1",8.40543,10.1266,5.48243,0.0467945,0.250107
3339,kidney,ACHN,Temsirolimus,All,GDSC1,-2.46214,0.618709,-3.91067,0.524979,12.9826
3340,kidney,ACHN,Teniposide,All,GDSC2,-2.16238,3.5643,-3.17518,0.808112,40.8746
3341,kidney,ACHN,Tenovin-6,All,GDSC1,3.07537,4.81987,2.79916,0.827792,17.4557
3342,kidney,ACHN,TG-100-115,All,CTRP2,6.82235,8.57663,5.35296,0.274007,1.70326
3343,kidney,ACHN,TGX221,All,CTRP2,6.6918,10.0444,4.55493,0.39549,5.11627
3344,kidney,ACHN,Thalidomide,All,CTRP2,8.36779,9.81143,5.57948,0.0282987,0.125655
3345,kidney,ACHN,Thapsigargin,All,GDSC1,-5.66275,-2.49312,-5.76988,0.962888,57.6542
3346,kidney,ACHN,THZ-2-102-1,All,GDSC1,1.09185,5.35325,-0.888535,0.529623,17.8473
3347,kidney,ACHN,THZ-2-49,All,GDSC1,6.01116,10.142,2.6704,0.289357,7.89203
3348,kidney,ACHN,Tipifarnib,All,GDSC1,-0.107329,9.94518,-2.83438,0.710489,50.5518
3349,kidney,ACHN,tipifarnib-P1,All,CTRP2,10.1093,21.6873,0.469951,0.276637,10.5994
3350,kidney,ACHN,tivantinib,All,CTRP2,4.97947,8.50101,3.84538,0.660259,11.5254
