,gene,standard_drug_name,dataset,cancer_type,effect size,pvalue,n_mut,n_wt
398,AACS,navitoclax:gemcitabine (1:1 mol/mol),All,pancan,0.333555,0.738716,20,670
399,AACS,vorinostat:carboplatin (1:1 mol/mol),All,pancan,1.22001,0.222462,22,666
400,AACS,AZ6102,All,pancan,-1.28621,0.198368,26,715
401,AACS,neopeltolide,All,pancan,-1.42268,0.154828,17,336
402,AACS,PHA-793887,All,pancan,-2.17873,0.0293518,40,1071
403,AACS,Rucaparib,All,pancan,1.07644,0.281729,35,905
404,AACS,Dactolisib,All,pancan,-0.00471056,0.996242,39,1040
405,AACS,Panobinostat,All,pancan,-0.880037,0.378839,36,971
406,AACS,avrainvillamide,All,pancan,-0.637194,0.523998,17,562
407,AACS,YK-4-279,All,pancan,-0.0950924,0.924241,41,1063
408,AACS,6-diazo-5-oxo-L-norleucine,All,pancan,1.69925,0.0892729,11,200
409,AACS,Apitolisib,All,pancan,0.351264,0.72539,35,884
410,AACS,ML323,All,pancan,-0.432226,0.665577,28,696
411,AACS,A-443654,All,pancan,-1.21295,0.225149,16,380
412,AACS,BRD-K04800985,All,pancan,-0.846059,0.39752,21,665
413,AACS,LIMK1 inhibitor BMS4,All,pancan,-1.69788,0.0895295,35,884
414,AACS,QL-XII-47,All,pancan,-1.34232,0.179492,35,881
415,AACS,AZD8186,All,pancan,-0.969149,0.332471,36,914
416,AACS,SR-II-138A,All,pancan,-0.461161,0.644683,24,719
417,AACS,Dabrafenib,All,pancan,-1.57132,0.116109,37,992
418,AACS,ULK1_4989,All,pancan,-1.58329,0.113355,28,696
419,AACS,WZ4003,All,pancan,-0.369558,0.711712,28,696
420,AACS,MI-1,All,pancan,1.38467,0.166152,21,615
421,AACS,Daporinad,All,pancan,0.308135,0.75798,40,1048
422,AACS,carboplatin:etoposide (40:17 mol/mol),All,pancan,1.7464,0.0807416,22,672
423,AACS,BX-912,All,pancan,-0.694776,0.487196,35,881
424,AACS,Piperlongumine,All,pancan,-1.57815,0.114531,39,1077
425,AACS,JAK1_3715,All,pancan,1.19621,0.231615,34,895
426,AACS,Compound 7d-cis,All,pancan,-1.54309,0.122809,21,635
427,AACS,JAK3_7406,All,pancan,-0.250326,0.802335,34,894
428,AACS,Elesclomol,All,pancan,-0.116371,0.907358,35,908
429,AACS,importazole,All,pancan,0.852829,0.393754,21,649
430,AACS,Ara-G,All,pancan,-1.32102,0.186496,35,874
431,AACS,PAK_5339,All,pancan,-0.821137,0.411568,28,696
432,AACS,QL-VIII-58,All,pancan,-0.901774,0.367177,18,475
433,AACS,etomoxir,All,pancan,1.30532,0.191783,24,707
434,AACS,ML050,All,pancan,0.721547,0.470573,24,703
435,AACS,HLI 373,All,pancan,-0.172799,0.86281,23,682
436,AACS,Navitoclax,All,pancan,0.12498,0.900539,41,1096
437,AACS,QL-XI-92,All,pancan,-1.31566,0.188288,34,879
438,AACS,KHS101,All,pancan,-0.815283,0.41491,20,648
439,AACS,Ruxolitinib,All,pancan,-0.233712,0.815209,41,1088
440,AACS,JQ-1:vorinostat (2:1 mol/mol),All,pancan,-0.977026,0.328557,23,652
441,AACS,Telomerase Inhibitor IX,All,pancan,-1.64755,0.0994445,36,986
442,AACS,PFI-1,All,pancan,0.182225,0.855406,34,889
443,AACS,curcumin,All,pancan,-0.62151,0.534264,24,693
444,AACS,"Brivanib, BMS-540215",All,pancan,-0.460994,0.644803,35,884
445,AACS,BRD-K55116708,All,pancan,-0.239097,0.811031,20,644
446,AACS,CI-1033,All,pancan,-0.211018,0.832873,35,884
447,AACS,BRD-K35604418,All,pancan,0.616555,0.537528,21,672
448,AACS,GSK591,All,pancan,0.818924,0.41283,26,715
449,AACS,XMD15-27,All,pancan,-1.42105,0.155303,34,879
450,AACS,AEW541,All,pancan,0.812482,0.416515,13,443
451,AACS,myricetin,All,pancan,0.411715,0.680548,20,665
452,AACS,rigosertib,All,pancan,-0.371754,0.710076,21,653
453,AACS,CAY10594,All,pancan,-0.574914,0.56535,22,690
454,AACS,PF-573228,All,pancan,0.0518947,0.958613,21,681
455,AACS,bleomycin A2,All,pancan,0.471224,0.637481,22,650
456,AACS,NSC632839,All,pancan,-0.970031,0.332031,24,710
457,AACS,UNC1215,All,pancan,-0.555249,0.578724,33,871
458,AACS,Thapsigargin,All,pancan,-0.271422,0.786066,32,841
459,AACS,LBW242,All,pancan,1.73066,0.0835122,13,443
460,AACS,NVP-BHG712,All,pancan,-1.48268,0.138159,34,877
461,AACS,GDC0810,All,pancan,-0.0416292,0.966794,26,721
462,AACS,m-3M3-FBS,All,pancan,2.47532,0.0133117,11,200
463,AACS,ouabain,All,pancan,-0.184531,0.853597,22,697
464,AACS,IMD-0354,All,pancan,-0.469434,0.638759,35,884
465,AACS,ETP-45835,All,pancan,-1.83948,0.065845,35,887
466,AACS,ML162,All,pancan,0.430951,0.666504,24,703
467,AACS,PI-103,All,pancan,-1.30116,0.193203,41,1075
468,AACS,quinoclamine,All,pancan,-0.391208,0.695643,11,201
469,AACS,Gly-Gly-PALO,All,pancan,1.3402,0.180179,11,201
470,AACS,WZ-1-84,All,pancan,0.296548,0.766811,16,380
471,AACS,Cyclopamine,All,pancan,-0.667372,0.504534,16,377
472,AACS,PLX-4032,All,pancan,-0.0162166,0.987062,21,665
473,AACS,C-75,All,pancan,-0.390002,0.696535,35,874
474,AACS,CHIR-99021,All,pancan,0.292689,0.76976,41,1091
475,AACS,OSI-930,All,pancan,-1.62297,0.104595,39,1038
476,AACS,PARP_0108,All,pancan,-0.381589,0.702766,34,895
477,AACS,Pelitinib,All,pancan,-1.98045,0.0476528,34,879
478,AACS,orteronel,All,pancan,0.376569,0.706494,11,173
479,AACS,Nelarabine,All,pancan,-1.13773,0.255232,35,942
480,AACS,BMS-754807,All,pancan,0.252617,0.800564,41,1050
481,AACS,RITA,All,pancan,0.891905,0.372444,24,694
482,AACS,AZD5438,All,pancan,-0.333084,0.739071,35,913
483,AACS,EPZ004777,All,pancan,-0.288162,0.773223,30,766
484,AACS,isoliquiritigenin,All,pancan,-0.0153348,0.987765,16,274
485,AACS,HG-5-88-01,All,pancan,0.569719,0.568868,18,475
486,AACS,Ko-143,All,pancan,-0.226348,0.820931,24,703
487,AACS,Ch-55,All,pancan,-0.152972,0.87842,22,679
488,AACS,Compound 1541A,All,pancan,-1.13656,0.255723,24,667
489,AACS,BRD-K41334119,All,pancan,-1.10763,0.268021,11,194
490,AACS,BRD-K78574327,All,pancan,0.200771,0.840878,10,191
491,AACS,CGP-60474,All,pancan,-0.833902,0.404336,16,380
492,AACS,BMS-195614,All,pancan,-2.19348,0.0282725,21,668
493,AACS,2-bromopyruvate,All,pancan,1.27458,0.202457,11,201
494,AACS,Trametinib,All,pancan,-1.3945,0.163168,37,995
495,AACS,ML006,All,pancan,-0.246807,0.805058,24,701
496,AACS,isoevodiamine,All,pancan,-0.391952,0.695094,24,693
497,AACS,darinaparsin,All,pancan,0.340048,0.73382,18,394
498,AACS,Wee1 Inhibitor,All,pancan,-0.198175,0.842908,34,891
499,AACS,tacrolimus,All,pancan,0.50656,0.612463,24,673
500,AACS,AM-580,All,pancan,-0.375638,0.707186,23,689
501,AACS,JNK Inhibitor VIII,All,pancan,1.61434,0.106453,35,906
502,AACS,NSC95397,All,pancan,-1.52526,0.127193,22,651
503,AACS,4-IPP,All,pancan,0.776563,0.437417,11,175
504,AACS,Picolinici-acid,All,pancan,-0.309654,0.756824,28,696
505,AACS,SN-38,All,pancan,-0.796508,0.425737,40,1071
506,AACS,Selumetinib,All,pancan,-1.45549,0.145535,40,1106
507,AACS,Mitoxantrone,All,pancan,-1.51878,0.128818,28,696
508,AACS,Seliciclib,All,pancan,-0.779725,0.435553,16,377
509,AACS,BRD-K88742110,All,pancan,1.13067,0.258192,22,664
510,AACS,NSC-207895,All,pancan,-0.173101,0.862572,34,875
511,AACS,T-5345967,All,pancan,-0.489246,0.624668,24,625
512,AACS,BMS-299897,All,pancan,0.438703,0.660877,10,107
513,AACS,Topotecan,All,pancan,-0.747555,0.454728,36,988
514,AACS,NVP-AUY922,All,pancan,-0.0433028,0.96546,11,175
515,AACS,CI-1040,All,pancan,-0.411743,0.680528,34,896
516,AACS,BRD-K09587429,All,pancan,-0.67443,0.500038,21,605
517,AACS,Phenformin,All,pancan,-1.37149,0.170221,34,875
518,AACS,Epirubicin,All,pancan,-1.9501,0.0511646,26,721
519,AACS,TL-1-85,All,pancan,-1.41692,0.156507,34,877
520,AACS,5-Fluorouracil,All,pancan,-1.26039,0.207529,35,922
521,AACS,BRD-K37390332,All,pancan,-0.722864,0.469763,21,650
522,AACS,CAY10566,All,pancan,-0.219951,0.82591,35,874
523,AACS,methylstat,All,pancan,-0.806755,0.419807,11,475
524,AACS,"2,4-dideoxy-DC-45-A2",All,pancan,2.03176,0.042178,11,201
525,AACS,SU11274,All,pancan,-0.0322989,0.974234,40,1065
526,AACS,Embelin,All,pancan,-1.22354,0.221125,32,841
527,AACS,mitomycin,All,pancan,0.338791,0.734767,22,684
528,AACS,Ki8751,All,pancan,2.36829,0.0178704,19,655
529,AACS,AZD6094,All,pancan,1.42152,0.155167,34,895
530,AACS,BRD6430,All,pancan,-0.861435,0.388999,23,674
531,AACS,ML013,All,pancan,-0.221726,0.824528,11,199
532,AACS,Dinaciclib,All,pancan,-1.16538,0.243863,30,828
533,AACS,STF-62247,All,pancan,-0.747664,0.454663,34,875
534,AACS,Crizotinib,All,pancan,0.100022,0.920327,40,1053
535,AACS,Flutamide,All,pancan,1.63287,0.102495,10,106
536,AACS,ML320,All,pancan,1.83953,0.0658368,20,649
537,AACS,GSK1059615,All,pancan,-1.84326,0.0652914,37,1006
538,AACS,CIL41,All,pancan,-0.52336,0.600724,18,390
539,AACS,BRD-K97651142,All,pancan,-0.42406,0.671522,21,654
540,AACS,fatostatin,All,pancan,-0.371017,0.710625,11,201
541,AACS,Pevonedistat,All,pancan,-1.65399,0.0981293,40,1047
542,AACS,C6-ceramide,All,pancan,-1.58603,0.112733,22,695
543,AACS,CZC24832,All,pancan,-1.29483,0.195377,28,696
544,AACS,silmitasertib,All,pancan,-1.38665,0.165549,21,640
545,AACS,FGIN-1-27,All,pancan,-0.513534,0.607578,16,280
546,AACS,panduratin A,All,pancan,-1.07027,0.284497,11,200
547,AACS,LE-135,All,pancan,-0.462815,0.643497,24,695
548,AACS,FTY-720,All,pancan,-0.98551,0.324374,35,874
549,AACS,PRIMA-1MET,All,pancan,-1.20722,0.227349,32,846
550,AACS,AS605240,All,pancan,-2.64197,0.00824246,35,881
551,AACS,AZD4547,All,pancan,-0.183528,0.854383,40,1069
552,AACS,Osimertinib,All,pancan,-0.213697,0.830784,26,721
553,AACS,austocystin D,All,pancan,-0.0821361,0.934538,22,645
554,AACS,LJI308,All,pancan,-1.70127,0.0888919,26,715
555,AACS,BRD-K27188169:navitoclax (2:1 mol/mol),All,pancan,-1.04156,0.297616,13,321
556,AACS,fluorouracil,All,pancan,-0.33386,0.738486,22,681
557,AACS,NU7441,All,pancan,-0.246607,0.805213,35,907
558,AACS,itraconazole,All,pancan,0.0737437,0.941214,24,678
559,AACS,Bax channel blocker,All,pancan,-0.334978,0.737642,24,642
560,AACS,Genentech Cpd 10,All,pancan,-0.83549,0.403442,35,881
561,AACS,Nutlin-3a,All,pancan,-1.3871,0.165412,41,1105
562,AACS,Cetuximab,All,pancan,0.685228,0.4932,33,839
563,AACS,SL0101,All,pancan,0.154838,0.876949,34,892
564,AACS,BRD-K52037352,All,pancan,0.684213,0.493841,20,593
565,AACS,Dacarbazine,All,pancan,1.1567,0.247395,20,680
566,AACS,indisulam,All,pancan,0.791554,0.428621,24,671
567,AACS,BRD-K50799972,All,pancan,0.971401,0.331349,21,670
568,AACS,pyrazolanthrone,All,pancan,-0.376914,0.706237,22,694
569,AACS,tamatinib,All,pancan,-1.11774,0.263679,23,687
570,AACS,triacsin C,All,pancan,1.80965,0.0703494,11,201
571,AACS,KU-55933,All,pancan,-0.541092,0.588445,40,1079
572,AACS,BRD-K86535717,All,pancan,-1.01072,0.312151,10,194
573,AACS,Camptothecin,All,pancan,-0.816695,0.414103,30,773
574,AACS,MK-0752,All,pancan,0.931087,0.351808,22,666
575,AACS,MIRA-1,All,pancan,-0.138945,0.889494,30,895
576,AACS,sparfosic acid,All,pancan,-0.446369,0.655331,11,200
577,AACS,Niraparib,All,pancan,-0.856158,0.391911,28,696
578,AACS,endo-IWR-1,All,pancan,0.198517,0.842641,10,105
579,AACS,BRD1835,All,pancan,-0.414799,0.678289,21,657
580,AACS,Bosutinib,All,pancan,-0.0837048,0.933291,40,1079
581,AACS,Lapatinib,All,pancan,-0.0362318,0.971098,37,1050
582,AACS,VNLG-124,All,pancan,0.678423,0.497503,34,875
583,AACS,AT7867,All,pancan,1.47426,0.140411,40,1069
584,AACS,N-oxalyl-D-phenylalanine,All,pancan,1.47145,0.14117,11,201
585,AACS,Buparlisib,All,pancan,-0.135989,0.89183,26,721
586,AACS,PX-12,All,pancan,-0.415157,0.678027,23,671
587,AACS,Tozasertib,All,pancan,0.0486632,0.961188,26,573
588,AACS,blebbistatin,All,pancan,-0.879896,0.378916,17,332
589,AACS,KIN001-244,All,pancan,0.314871,0.75286,34,877
590,AACS,BRD-K85133207,All,pancan,0.661667,0.508185,21,662
591,AACS,DL-TBOA,All,pancan,2.14786,0.0317249,11,201
592,AACS,Leflunomide,All,pancan,0.982415,0.325895,28,696
593,AACS,XMD14-99,All,pancan,-0.633638,0.526317,34,879
594,AACS,Y-39983,All,pancan,-1.09408,0.273922,34,877
595,AACS,Alectinib,All,pancan,-1.10091,0.270934,34,879
596,AACS,PLX-4720,All,pancan,0.207412,0.835688,41,1106
597,AACS,AGI-6780,All,pancan,0.250533,0.802175,36,915
598,AACS,CAY10618,All,pancan,-0.672701,0.501138,23,700
599,AACS,RU-SKI 43,All,pancan,-0.293486,0.769151,35,874
600,AACS,Olaparib,All,pancan,0.0294968,0.976468,41,1098
601,AACS,ARRY-520,All,pancan,-1.28031,0.200436,35,874
602,AACS,PF-750,All,pancan,-0.903043,0.366503,23,648
603,AACS,decitabine:navitoclax (2:1 mol/mol),All,pancan,-0.705548,0.480469,22,669
604,AACS,tipifarnib-P2,All,pancan,-0.0236895,0.9811,19,443
605,AACS,PARP_9482,All,pancan,-0.168003,0.866581,34,895
606,AACS,AZD1332,All,pancan,0.919992,0.357577,35,913
607,AACS,A-804598,All,pancan,-0.639566,0.522455,11,466
608,AACS,AZD5363,All,pancan,-1.05091,0.293302,26,721
609,AACS,Dyrk1b_0191,All,pancan,0.559974,0.575497,34,894
610,AACS,SCH-79797,All,pancan,-0.0359187,0.971347,24,716
611,AACS,Epothilone B,All,pancan,-0.38142,0.702892,32,841
612,AACS,SMER-3,All,pancan,-0.0914894,0.927104,21,584
613,AACS,ACY-1215,All,pancan,-0.707723,0.479118,35,884
614,AACS,AZ960,All,pancan,0.149298,0.881319,28,696
615,AACS,BMS-270394,All,pancan,1.34748,0.177825,21,685
616,AACS,Bleomycin,All,pancan,0.110712,0.911845,32,841
617,AACS,PIK-93,All,pancan,-0.84505,0.398083,40,1066
618,AACS,sildenafil,All,pancan,0.614445,0.538921,24,685
619,AACS,CHM-1,All,pancan,-0.821997,0.411079,24,693
620,AACS,NVP-231,All,pancan,1.10986,0.26706,22,676
621,AACS,Ulixertinib,All,pancan,-1.55087,0.120932,26,730
622,AACS,IWP-2,All,pancan,0.114543,0.908808,29,704
623,AACS,ML007,All,pancan,-0.694079,0.487632,11,201
624,AACS,necrostatin-1,All,pancan,1.12275,0.261543,22,676
625,AACS,ETP-46464,All,pancan,-0.267084,0.789405,11,477
626,AACS,968,All,pancan,1.05405,0.291861,10,191
627,AACS,RG-108,All,pancan,0.395685,0.692337,24,706
628,AACS,Omipalisib,All,pancan,-0.716489,0.47369,34,879
629,AACS,AS601245,All,pancan,-0.275708,0.782772,32,841
630,AACS,simvastatin,All,pancan,-1.01197,0.311553,22,652
631,AACS,Rapamycin,All,pancan,0.349786,0.7265,39,1053
632,AACS,SCH-529074,All,pancan,-1.32837,0.184056,22,658
633,AACS,JQ-1:carboplatin (1:1 mol/mol),All,pancan,-0.0398637,0.968202,18,646
634,AACS,Podophyllotoxin bromide,All,pancan,-1.34921,0.17727,28,696
635,AACS,BRD-K45681478,All,pancan,2.0055,0.04491,20,657
636,AACS,SGC0946,All,pancan,0.0852401,0.93207,33,871
637,AACS,CCT-018159,All,pancan,-0.729032,0.465982,35,899
638,AACS,selumetinib:BRD-A02303741 (4:1 mol/mol),All,pancan,-1.90836,0.0563441,23,673
639,AACS,Gallibiscoquinazole,All,pancan,-0.443285,0.65756,28,696
640,AACS,Kobe2602,All,pancan,-0.321719,0.747666,35,874
641,AACS,batimastat,All,pancan,1.32506,0.185151,11,201
642,AACS,fumonisin B1,All,pancan,-0.815126,0.415,23,701
643,AACS,ML203,All,pancan,2.06559,0.0388674,23,695
644,AACS,Mdivi-1,All,pancan,0.624807,0.532098,22,673
645,AACS,WP1130,All,pancan,-1.04068,0.298026,21,657
646,AACS,Pictilisib,All,pancan,0.104226,0.91699,41,1090
647,AACS,AZD8931,All,pancan,-0.549544,0.582632,34,894
648,AACS,UNC0638,All,pancan,-0.213782,0.830717,41,1099
649,AACS,JNK-9L,All,pancan,-1.65169,0.0985979,32,849
650,AACS,AZD5153,All,pancan,-1.92612,0.0540889,28,696
651,AACS,SCH772984,All,pancan,-1.38288,0.1667,30,769
652,AACS,zileuton,All,pancan,1.52171,0.128081,11,200
653,AACS,HG-5-113-01,All,pancan,-0.977625,0.32826,18,475
654,AACS,leucascandrolide A,All,pancan,-2.08224,0.0373207,11,201
655,AACS,fingolimod,All,pancan,0.896258,0.370115,21,671
656,AACS,ML101,All,pancan,1.45258,0.146341,11,185
657,AACS,EHT-1864,All,pancan,-1.48323,0.138014,35,902
658,AACS,cimetidine,All,pancan,0.0710531,0.943356,10,195
659,AACS,CDK9_5038,All,pancan,-1.83304,0.0667961,28,696
660,AACS,NSC319726,All,pancan,-1.1371,0.255496,35,872
661,AACS,AR-42,All,pancan,-0.765639,0.443891,34,875
662,AACS,PARP_9495,All,pancan,0.0,1.0,34,895
663,AACS,BRD-K79669418,All,pancan,0.876341,0.380845,14,356
664,AACS,rotenone,All,pancan,-0.19939,0.841958,11,201
665,AACS,Cabozantinib,All,pancan,-0.0247517,0.980253,40,1064
666,AACS,Sphingosine Kinase 1 Inhibitor II,All,pancan,-1.2034,0.22882,39,1074
667,AACS,DC-45-A2,All,pancan,1.46135,0.143919,11,201
668,AACS,Quizartinib,All,pancan,-0.609081,0.542471,40,1066
669,AACS,PD173074,All,pancan,-0.935176,0.349698,36,917
670,AACS,CHEMBL399379,All,pancan,0.278981,0.78026,11,200
671,AACS,(-)-gallocatechin-3-monogallate,All,pancan,0.776073,0.437706,11,200
672,AACS,GNF-2,All,pancan,1.21964,0.222602,16,380
673,AACS,XMD8-85,All,pancan,-1.02915,0.303411,16,377
674,AACS,Compound 4,All,pancan,0.224629,0.822268,11,201
675,AACS,AT13148,All,pancan,0.61839,0.536318,26,715
676,AACS,CR-1-31B,All,pancan,-0.197247,0.843634,24,701
677,AACS,pandacostat,All,pancan,0.788859,0.430194,19,658
678,AACS,SB-743921,All,pancan,-0.350991,0.725595,23,695
679,AACS,BRD6340,All,pancan,1.78972,0.0734987,23,696
680,AACS,AZD5582,All,pancan,-1.09715,0.272576,35,914
681,AACS,selumetinib:UNC0638 (4:1 mol/mol),All,pancan,-2.0944,0.0362241,23,672
682,AACS,vorapaxar,All,pancan,0.51646,0.605533,20,666
683,AACS,Cediranib,All,pancan,0.73243,0.463906,28,841
684,AACS,FSC231,All,pancan,0.0769026,0.938701,10,194
685,AACS,GSK650394,All,pancan,-0.987834,0.323234,32,841
686,AACS,BRD-K27986637,All,pancan,-1.58503,0.112959,10,195
687,AACS,IGF1R_3801,All,pancan,-0.076492,0.939028,28,696
688,AACS,Obatoclax Mesylate,All,pancan,-1.78055,0.0749862,41,1075
689,AACS,Parthenolide,All,pancan,-1.36421,0.172502,31,881
690,AACS,Serdemetan,All,pancan,-0.418143,0.675842,40,1080
691,AACS,T0901317,All,pancan,-0.518311,0.604241,34,879
692,AACS,crizotinib:PLX-4032 (2:1 mol/mol),All,pancan,-0.935108,0.349733,20,668
693,AACS,TG-100-115,All,pancan,-0.345829,0.729471,21,682
694,AACS,GMX-1778,All,pancan,0.848487,0.396167,23,710
695,AACS,Vorinostat,All,pancan,-0.541823,0.58794,41,1097
696,AACS,Ipatasertib,All,pancan,-1.02778,0.304054,26,721
697,AACS,Belinostat,All,pancan,-0.724467,0.468779,35,967
698,AACS,MLN2238,All,pancan,0.135531,0.892192,22,697
699,AACS,ERK_6604,All,pancan,-0.555719,0.578403,28,696
700,AACS,chaetocin,All,pancan,-2.29976,0.0214619,10,108
701,AACS,BRD-A94377914,All,pancan,0.257928,0.796462,15,351
702,AACS,CCT007093,All,pancan,-0.602203,0.547039,35,902
703,AACS,IC-87114,All,pancan,-1.11764,0.263721,40,1075
704,AACS,GW843682X,All,pancan,-0.710787,0.477216,33,871
705,AACS,PF-00299804,All,pancan,0.101289,0.919321,35,884
706,AACS,TW 37,All,pancan,-0.13939,0.889142,40,1076
707,AACS,Lenalidomide,All,pancan,1.35189,0.176411,36,946
708,AACS,KPT185,All,pancan,-0.724173,0.46896,11,501
709,AACS,Cytarabine,All,pancan,-1.83545,0.0664389,36,920
710,AACS,Afuresertib,All,pancan,-0.79373,0.427353,26,721
711,AACS,GSK2636771,All,pancan,-0.393263,0.694125,11,496
712,AACS,tretinoin:navitoclax (4:1 mol/mol),All,pancan,-0.545299,0.585548,20,670
713,AACS,FQI-1,All,pancan,-0.297354,0.766196,18,397
714,AACS,Bexarotene,All,pancan,-0.678112,0.497701,40,1037
715,AACS,RS-23597-190,All,pancan,0.0590196,0.952937,10,106
716,AACS,FGFR_0939,All,pancan,-1.05671,0.290642,34,894
717,AACS,procarbazine,All,pancan,-2.11701,0.0342586,19,626
718,AACS,Nilotinib,All,pancan,-0.783482,0.433344,41,1103
719,AACS,idarubicin,All,pancan,-0.663792,0.506823,11,201
720,AACS,P22077,All,pancan,-0.292329,0.770035,26,721
721,AACS,7-nitroindazole,All,pancan,2.01373,0.0440376,11,200
722,AACS,ML334 diastereomer,All,pancan,-0.359588,0.719155,10,485
723,AACS,betulinic acid,All,pancan,-0.897435,0.369487,21,668
724,AACS,BRD-K19103580,All,pancan,0.169481,0.865418,20,666
725,AACS,PF-4708671,All,pancan,-1.01964,0.307897,35,903
726,AACS,CMK,All,pancan,-1.13714,0.25548,16,380
727,AACS,PL-DI,All,pancan,-0.209462,0.834088,23,664
728,AACS,LCL161,All,pancan,-1.65273,0.0983855,36,913
729,AACS,tretinoin:carboplatin (2:1 mol/mol),All,pancan,0.578515,0.562917,22,655
730,AACS,BRD-K34099515,All,pancan,-1.14839,0.250809,11,181
731,AACS,NPC-26,All,pancan,-1.93535,0.0529474,24,665
732,AACS,fluoropyruvate,All,pancan,-0.081158,0.935316,11,200
733,AACS,SB505124,All,pancan,-0.940235,0.347097,36,931
734,AACS,WAY-362450,All,pancan,-1.09785,0.272269,21,689
735,AACS,momelotinib,All,pancan,1.11033,0.266858,19,650
736,AACS,CHEMBL1222381,All,pancan,0.212328,0.831851,23,711
737,AACS,AZD8055,All,pancan,1.65212,0.0985096,40,1085
738,AACS,zebularine,All,pancan,-1.0557,0.291105,24,713
739,AACS,rosiglitazone,All,pancan,2.23692,0.0252917,11,200
740,AACS,ML210,All,pancan,0.488717,0.625042,24,685
741,AACS,BMS-509744,All,pancan,-0.493719,0.621505,16,381
742,AACS,triptolide,All,pancan,-2.00061,0.0454346,23,712
743,AACS,JZL-184,All,pancan,0.153959,0.877642,11,201
744,AACS,SNS-032,All,pancan,0.245536,0.806041,21,631
745,AACS,GNE-317,All,pancan,-0.0351535,0.971957,26,721
746,AACS,ML258,All,pancan,0.962213,0.335943,21,682
747,AACS,JAK1_8709,All,pancan,1.14093,0.253899,28,696
748,AACS,Uprosertib,All,pancan,-1.27081,0.203796,30,768
749,AACS,BRD4132,All,pancan,-1.48823,0.13669,22,665
750,AACS,tipifarnib-P1,All,pancan,1.47456,0.140332,23,705
751,AACS,BRD-K61166597,All,pancan,0.925052,0.354939,20,631
752,AACS,Cyclophosphamide,All,pancan,-0.636223,0.524631,33,858
753,AACS,OSI-027,All,pancan,0.0150032,0.98803,41,1079
754,AACS,CIL70,All,pancan,-0.0263133,0.979007,18,394
755,AACS,Selisistat,All,pancan,-1.03208,0.302035,41,1053
756,AACS,BMS-191011,All,pancan,0.461878,0.644169,11,201
757,AACS,BRD-K84807411,All,pancan,-2.68474,0.00725866,11,196
758,AACS,3-Cl-AHPC,All,pancan,0.435959,0.662867,21,687
759,AACS,Acetalax,All,pancan,-1.05983,0.289222,28,696
760,AACS,NSC 74859,All,pancan,-0.257079,0.797118,24,689
761,AACS,BRD-K44224150,All,pancan,-0.692095,0.488878,11,185
762,AACS,pitstop2,All,pancan,-0.751459,0.452377,11,468
763,AACS,P-0850,All,pancan,-0.360856,0.718207,11,175
764,AACS,AZD2014,All,pancan,0.589738,0.555366,35,913
765,AACS,OTX015,All,pancan,-2.1427,0.0321374,28,696
766,AACS,BRD-K03536150,All,pancan,0.790139,0.429447,21,654
767,AACS,VE821,All,pancan,-0.931782,0.351449,26,715
768,AACS,Doramapimod,All,pancan,-0.671212,0.502085,40,1065
769,AACS,AMG-319,All,pancan,-0.897936,0.36922,26,719
770,AACS,SGX-523,All,pancan,0.661112,0.50854,21,682
771,AACS,"CAP-232, TT-232, TLN-232",All,pancan,-1.03213,0.302013,35,874
772,AACS,Merck60,All,pancan,0.038938,0.96894,24,714
773,AACS,neratinib,All,pancan,-0.780809,0.434915,24,713
774,AACS,16-beta-bromoandrosterone,All,pancan,-0.444729,0.656516,23,680
775,AACS,BRD-K94991378,All,pancan,1.39778,0.16218,16,626
776,AACS,Pemetrexed,All,pancan,-0.137682,0.890492,37,916
777,AACS,palmostatin B,All,pancan,-1.17703,0.239182,11,471
778,AACS,EphB4_9721,All,pancan,0.660365,0.50902,34,894
779,AACS,VSP34_8731,All,pancan,-0.7299,0.465452,28,696
780,AACS,ciclopirox,All,pancan,0.927502,0.353666,21,690
781,AACS,COL-3,All,pancan,-0.766205,0.443554,11,495
782,AACS,Ro-28-1675,All,pancan,0.923172,0.355917,11,200
783,AACS,BRD-A02303741:navitoclax (2:1 mol/mol),All,pancan,-1.60795,0.107847,18,638
784,AACS,BMS-345541,All,pancan,-0.515544,0.606173,41,1080
785,AACS,isonicotinohydroxamic acid,All,pancan,-0.400186,0.689019,11,456
786,AACS,piperlongumine:MST-312 (1:1 mol/mol),All,pancan,0.337922,0.735422,15,622
787,AACS,BRD-K29086754,All,pancan,-0.965651,0.334219,11,185
788,AACS,NSC30930,All,pancan,-0.292864,0.769626,21,686
789,AACS,BRD-K66453893,All,pancan,0.554826,0.579013,21,671
790,AACS,pluripotin,All,pancan,-0.0474212,0.962178,23,704
791,AACS,IOX2,All,pancan,-1.06779,0.285616,34,889
792,AACS,cerulenin,All,pancan,-0.701945,0.482713,22,703
793,AACS,GSK4112,All,pancan,0.112016,0.910811,20,688
794,AACS,AZD6738,All,pancan,-0.217981,0.827444,36,914
795,AACS,BRD-K27188169,All,pancan,-1.29264,0.196136,14,360
796,AACS,barasertib,All,pancan,2.16111,0.030687,21,671
797,AACS,BRD-K03911514,All,pancan,-0.0480062,0.961711,14,359
798,AACS,JQ-1:UNC0638 (2:1 mol/mol),All,pancan,-0.428714,0.668132,17,627
799,AACS,Vinorelbine,All,pancan,-1.55803,0.119227,34,902
